,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomePossession,AwayPossession,year,month,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating,HOMEATTACKVSAWAYDEFENCE,AWAYATTACKVSHOMEDEFENCE,HOMERATINGSVSAWAYRATINGS,HOMEMIDFIELDVSAWAYMIDFIELD
0,0,0,0,0,0,0,0,11/08/2017,Arsenal,Leicester,4,3,H,2,2,D,27,6,10,3,9,12,9,4,0,1,0,0,1846.22521973,1715.12988281,131.0953369199999,68,32,2017,8,86,82,80,83,79,79,76,78,10,-1,5,3
1,1,1,1,1,1,1,1,12/08/2017,Brighton,Man City,0,2,A,0,0,D,6,14,2,4,6,9,3,10,0,2,0,0,1581.9909668,1864.8536377,-282.8626709,23,77,2017,8,74,74,73,74,84,85,81,83,-7,11,-9,-11
2,2,2,2,2,2,2,2,12/08/2017,Chelsea,Burnley,2,3,A,0,3,A,19,10,6,5,16,11,8,5,3,3,2,0,1907.52770996,1627.26062012,280.2670898399999,62,38,2017,8,85,85,82,84,74,75,75,75,10,-8,9,10
3,3,3,3,3,3,3,3,12/08/2017,Crystal Palace,Huddersfield,0,3,A,0,2,A,14,8,4,6,7,19,12,9,1,3,0,0,1641.04907227,1474.02661133,167.02246093999997,56,44,2017,8,81,76,75,76,73,73,72,73,9,-2,3,3
4,4,4,4,4,4,4,4,12/08/2017,Everton,Stoke,1,0,H,1,0,H,9,9,4,1,13,10,6,7,1,1,0,0,1749.67651367,1660.71264648,88.96386718999996,61,39,2017,8,79,82,79,80,78,77,77,77,2,-1,3,5
5,5,5,5,5,5,5,5,12/08/2017,Southampton,Swansea,0,0,D,0,0,D,29,4,2,0,10,13,13,0,2,1,0,0,1690.1920165999998,1647.54345703,42.64855956999986,59,41,2017,8,78,78,77,78,75,77,75,76,3,-2,2,1
6,6,6,6,6,6,6,6,12/08/2017,Watford,Liverpool,3,3,D,2,1,H,9,14,4,5,14,8,3,3,0,3,0,0,1601.85852051,1835.66101074,-233.80249022999988,47,53,2017,8,77,76,76,77,83,82,80,82,-3,7,-5,-6
7,7,7,7,7,7,7,7,12/08/2017,West Brom,Bournemouth,1,0,H,1,0,H,16,9,6,2,15,3,8,2,3,1,0,0,1643.32434082,1651.86303711,-8.538696289999963,31,69,2017,8,80,75,76,76,76,74,75,75,5,0,1,1
8,8,8,8,8,8,8,8,13/08/2017,Man United,West Ham,4,0,H,1,0,H,22,9,6,1,19,7,11,1,2,2,0,0,1855.91333008,1670.75695801,185.15637206999986,55,45,2017,8,86,83,81,83,80,79,78,79,8,-1,4,4
9,9,9,9,9,9,9,9,13/08/2017,Newcastle,Tottenham,0,2,A,0,0,D,6,18,3,6,6,10,5,7,1,2,1,0,1621.4152832,1885.61633301,-264.2010498100001,28,72,2017,8,74,75,75,75,86,82,81,82,-7,11,-7,-7
10,10,10,10,10,10,10,10,19/08/2017,Bournemouth,Watford,0,2,A,0,0,D,6,19,2,7,6,14,8,5,1,3,0,0,1649.41833496,1609.88952637,39.528808589999926,53,47,2017,8,76,74,75,75,77,76,76,77,0,2,-2,-2
11,11,11,11,11,11,11,11,19/08/2017,Burnley,West Brom,0,1,A,0,0,D,20,8,0,1,11,11,5,5,1,0,0,1,1646.70068359,1653.37158203,-6.670898439999974,68,32,2017,8,74,75,75,75,80,75,76,76,-2,5,-1,0
12,12,12,12,12,12,12,12,19/08/2017,Leicester,Brighton,2,0,H,1,0,H,14,5,4,2,8,10,6,2,1,0,0,0,1715.60925293,1581.07458496,134.53466796999987,44,56,2017,8,79,79,76,78,74,74,73,74,6,-2,4,5
13,13,13,13,13,13,13,13,19/08/2017,Liverpool,Crystal Palace,1,0,H,0,0,D,23,4,13,1,12,13,4,2,1,3,0,0,1843.015625,1620.86437988,222.15124512000008,71,29,2017,8,83,82,80,82,81,76,75,76,8,1,6,6
14,14,14,14,14,14,14,14,19/08/2017,Southampton,West Ham,3,2,H,2,1,H,14,16,5,8,18,10,7,2,1,1,0,1,1690.67944336,1669.2388916,21.440551760000066,66,34,2017,8,78,78,77,78,80,79,78,79,0,3,-1,-1
15,15,15,15,15,15,15,15,19/08/2017,Stoke,Arsenal,1,0,H,0,0,D,11,18,4,6,6,11,2,9,0,0,0,0,1660.35253906,1853.34838867,-192.99584961000005,23,77,2017,8,78,77,77,77,86,82,80,83,-2,9,-6,-5
16,16,16,16,16,16,16,16,19/08/2017,Swansea,Man United,0,4,A,0,1,A,6,17,1,8,12,11,3,5,1,1,0,0,1654.65844727,1865.03393555,-210.37548828000013,42,58,2017,8,75,77,75,76,86,83,81,83,-6,11,-7,-6
17,17,17,17,17,17,17,17,20/08/2017,Huddersfield,Newcastle,1,0,H,0,0,D,7,13,3,5,13,10,7,3,3,4,0,0,1501.8137207,1620.15820312,-118.34448242000008,51,49,2017,8,73,73,72,73,74,75,75,75,-2,2,-2,-2
18,18,18,18,18,18,18,18,20/08/2017,Tottenham,Chelsea,1,2,A,0,1,A,18,9,6,2,14,21,14,3,3,3,0,0,1894.47583008,1895.69006348,-1.214233400000012,68,32,2017,8,86,82,81,82,85,85,82,84,4,4,-2,-3
19,19,19,19,19,19,19,19,21/08/2017,Man City,Everton,1,1,D,0,1,A,19,7,6,2,7,9,7,1,1,2,1,1,1873.37255859,1761.1730957000002,112.19946288999971,64,36,2017,8,84,85,81,83,79,82,79,80,5,-2,3,3
20,20,20,20,20,20,20,20,26/08/2017,Bournemouth,Man City,1,2,A,1,1,D,9,19,3,8,13,14,2,5,5,4,0,1,1635.63085938,1870.32995605,-234.69909667,29,71,2017,8,76,74,75,75,84,85,81,83,-5,9,-8,-11
21,21,21,21,21,21,21,21,26/08/2017,Crystal Palace,Swansea,0,2,A,0,1,A,16,7,3,3,9,6,1,1,4,1,0,0,1620.59631348,1646.89343262,-26.297119140000177,52,48,2017,8,81,76,75,76,75,77,75,76,6,0,0,-1
22,22,22,22,22,22,22,22,26/08/2017,Huddersfield,Southampton,0,0,D,0,0,D,16,6,6,3,10,10,5,4,0,1,0,0,1512.88342285,1698.2220459000002,-185.33862305000028,44,56,2017,8,73,73,72,73,78,78,77,78,-4,6,-5,-5
23,23,23,23,23,23,23,23,26/08/2017,Man United,Leicester,2,0,H,0,0,D,22,11,7,4,8,7,9,3,1,2,0,0,1876.43786621,1722.26916504,154.1687011700001,69,31,2017,8,86,83,81,83,79,79,76,78,10,-2,5,4
24,24,24,24,24,24,24,24,26/08/2017,Newcastle,West Ham,3,0,H,1,0,H,16,8,8,3,17,11,7,5,1,3,0,0,1612.72741699,1665.33520508,-52.60778808999999,38,62,2017,8,74,75,75,75,80,79,78,79,-4,5,-4,-4
25,25,25,25,25,25,25,25,26/08/2017,Watford,Brighton,0,0,D,0,0,D,8,16,0,2,7,18,3,11,0,1,1,0,1627.31591797,1578.05358887,49.26232909999999,42,58,2017,8,77,76,76,77,74,74,73,74,4,-2,3,2
26,26,26,26,26,26,26,26,27/08/2017,Chelsea,Everton,2,0,H,2,0,H,18,7,7,0,12,7,6,3,2,2,0,0,1907.11071777,1768.6932373,138.4174804700001,56,44,2017,8,85,85,82,84,79,82,79,80,6,-3,4,3
27,27,27,27,27,27,27,27,27/08/2017,Liverpool,Arsenal,4,0,H,2,0,H,18,8,10,0,6,9,4,3,2,4,0,0,1851.50878906,1844.09594727,7.4128417900001295,49,51,2017,8,83,82,80,82,86,82,80,83,3,6,-1,0
28,28,28,28,28,28,28,28,27/08/2017,Tottenham,Burnley,1,1,D,0,0,D,28,13,5,3,9,9,10,7,0,0,0,0,1886.6940917999998,1638.77441406,247.91967773999974,67,33,2017,8,86,82,81,82,74,75,75,75,11,-7,7,7
